CD4,CALM3,0.406
CD4,MET,0.409
CD4,PRL,0.411
CD4,F9,0.415
CD4,LYZ,0.417
CD4,TTR,0.427
CD4,TLR10,0.438
CD4,TNFAIP3,0.464
CD4,CEACAM1,0.465
CD4,NECTIN2,0.473
CD4,CD59,0.474
CD4,MIF,0.475
CD4,F2,0.522
CD4,H3C12,0.526
CD4,HSP90AA1,0.54
CD4,FLNA,0.557
CD4,PPARG,0.584
CD4,SNCA,0.585
CD4,MAPK1,0.594
CD4,NCR3,0.619
CD4,EGFR,0.64
CD4,WT1,0.645
CD4,PTPRN,0.646
CD4,MYC,0.663
CD4,MAPK14,0.69
CD4,MPO,0.7
CD4,TP53,0.703
CD4,TNFSF13B,0.714
CD4,CASP1,0.715
CD4,LGALS9,0.728
CD4,TLR8,0.754
CD4,CASP3,0.772
CD4,DPP4,0.774
CD4,CXCL12,0.825
CD4,HLA-A,0.864
CD4,HLA-B,0.89
CD4,SKP1,0.95
CD4,CD40LG,0.983
CD4,HLA-DRA,0.997
CD4,CD5,0.997
CD4,CD74,0.653
CD4,CST3,0.406
CD4,C1QB,0.409
CD4,MAPK8,0.415
CD4,AGER,0.416
CD4,PARP1,0.416
CD4,TGFBR1,0.424
CD4,GSK3B,0.429
CD4,BECN1,0.431
CD4,MMP12,0.432
CD4,SATB1,0.435
CD4,PIK3CG,0.454
CD4,RIPK3,0.457
CD4,PF4,0.463
CD4,FOLH1,0.472
CD4,ADRB2,0.477
CD4,REN,0.484
CD4,APP,0.487
CD4,NR4A1,0.51
CD4,H3C13,0.54
CD4,BRAF,0.544
CD4,CYCS,0.544
CD4,ESR1,0.55
CD4,TYK2,0.572
CD4,CGAS,0.575
CD4,NR3C1,0.583
CD4,KRAS,0.589
CD4,ACE,0.596
CD4,HPRT1,0.601
CD4,AXL,0.604
CD4,LGALS3,0.652
CD4,BTK,0.657
CD4,CCL11,0.674
CD4,PRKCQ,0.69
CD4,B2M,0.755
CD4,CSF1R,0.755
CD4,PTPN11,0.783
CD4,BST2,0.788
CD4,TNFRSF1A,0.797
CD4,RORC,0.801
CD4,CCL2,0.839
CD4,IL18,0.849
CD4,CXCL8,0.861
CD4,CCL3,0.88
CD4,SELL,0.931
CD4,GZMB,0.936
CD4,ITGAM,0.943
CD4,CUL1,0.944
CD4,ICAM1,0.969
CD4,IL4,0.97
CD4,IL17A,0.972
CD4,RPS6KB1,0.403
CD4,TSG101,0.415
CD4,XIAP,0.416
CD4,FGF9,0.423
CD4,FGF4,0.424
CD4,IRAK4,0.424
CD4,MMP1,0.445
CD4,CASP9,0.448
CD4,ANXA1,0.45
CD4,ADAM17,0.475
CD4,LMNA,0.477
CD4,SIRPG,0.498
CD4,PIK3CD,0.499
CD4,MCL1,0.503
CD4,FGF2,0.51
CD4,AGT,0.528
CD4,VWF,0.537
CD4,LDLR,0.54
CD4,VTN,0.57
CD4,NFKBIA,0.618
CD4,TRAF6,0.62
CD4,CD47,0.623
CD4,MMP3,0.659
CD4,VCAM1,0.724
CD4,XCL1,0.724
CD4,NRP1,0.725
CD4,JAK3,0.738
CD4,CD46,0.739
CD4,ALB,0.817
CD4,INS,0.829
CD4,CD22,0.836
CD4,AKT1,0.839
CD4,MYD88,0.85
CD4,HLA-C,0.857
CD4,ITK,0.887
CD4,IL13,0.931
CD4,IL1B,0.958
CD4,HLA-DRB1,0.994
CD4,LCK,0.999
CD4,CX3CL1,0.609
CD4,IKBKG,0.412
CD4,PPIA,0.418
CD4,GRB2,0.436
CD4,TJP1,0.452
CD4,CEBPB,0.461
CD4,BACH2,0.481
CD4,CTSL,0.49
CD4,IL1RN,0.51
CD4,IGF1,0.513
CD4,CXCR1,0.565
CD4,C3,0.59
CD4,ITGA2B,0.591
CD4,TNFRSF14,0.611
CD4,DDX58,0.628
CD4,FLT3,0.649
CD4,KIR2DL1,0.668
CD4,ERBB2,0.676
CD4,PTCRA,0.69
CD4,ADORA2A,0.709
CD4,CCL20,0.731
CD4,BCL2L1,0.746
CD4,APOBEC3G,0.767
CD4,PTPN22,0.793
CD4,TGFB1,0.87
CD4,CSF2,0.88
CD4,CD38,0.932
CD4,FCGR3A,0.964
CD4,IL6,0.966
CD4,IL10,0.976
CD4,FYN,0.98
CD4,SYK,0.981
CD4,CXCR4,0.999
CD4,VIM,0.404
CD4,SERPINE1,0.415
CD4,PLG,0.439
CD4,SFTPD,0.441
CD4,BSG,0.449
CD4,EP300,0.457
CD4,LRP1,0.462
CD4,UBE3A,0.471
CD4,BCL2A1,0.472
CD4,CTSB,0.486
CD4,LGALS1,0.487
CD4,TNFRSF17,0.5
CD4,ABL1,0.525
CD4,CCL8,0.541
CD4,LEP,0.575
CD4,ELANE,0.598
CD4,AMBP,0.624
CD4,IRF3,0.633
CD4,JAK2,0.635
CD4,LTF,0.64
CD4,FLT3LG,0.677
CD4,FCGRT,0.689
CD4,GYPA,0.716
CD4,CCL17,0.718
CD4,IL33,0.729
CD4,SCARB2,0.739
CD4,JAK1,0.74
CD4,NAALADL1,0.751
CD4,SELE,0.756
CD4,CD207,0.767
CD4,KIT,0.778
CD4,CRP,0.79
CD4,ANXA5,0.807
CD4,CD1B,0.853
CD4,IDO1,0.875
CD4,TNF,0.968
CD4,CFTR,0.622
CD4,RRAD,0.415
CD4,BTN3A1,0.423
CD4,PROCR,0.435
CD4,NPM1,0.437
CD4,FOXO3,0.452
CD4,SERPINB2,0.457
CD4,TCL1A,0.458
CD4,TF,0.477
CD4,SMAD2,0.507
CD4,WAS,0.512
CD4,H3-4,0.526
CD4,F3,0.54
CD4,CAMP,0.551
CD4,PLSCR4,0.567
CD4,SMAD3,0.568
CD4,TNFRSF13C,0.571
CD4,MAGEA3,0.581
CD4,EGF,0.583
CD4,NOS2,0.585
CD4,JUN,0.626
CD4,AIRE,0.635
CD4,IGF2R,0.654
CD4,IL3,0.709
CD4,IFNGR1,0.739
CD4,IFNA2,0.788
CD4,IL17F,0.87
CD4,IL2RB,0.875
CD4,CD274,0.938
CD4,CTLA4,0.955
CD4,IL2,0.975
CD4,TGM2,0.433
CD4,NFKB2,0.436
CD4,RHOA,0.45
CD4,IDH1,0.459
CD4,CMA1,0.474
CD4,POMC,0.479
CD4,CREB1,0.505
CD4,NOD1,0.507
CD4,CYP2D6,0.508
CD4,HCK,0.513
CD4,RUNX1,0.591
CD4,MTOR,0.635
CD4,KDR,0.681
CD4,APOE,0.701
CD4,CSF3,0.734
CD4,CD1E,0.793
CD4,TFRC,0.88
CD4,PLAT,0.942
CD4,SERPINA1,0.46
CD4,TNFSF15,0.48
CD4,IFNAR2,0.519
CD4,PTPRJ,0.536
CD4,ISG15,0.561
CD4,CHGA,0.597
CD4,IFNAR1,0.653
CD4,IL10RA,0.708
CD4,ACE2,0.788
CD4,CR2,0.798
CD4,THBS1,0.817
CD4,BCL2,0.837
CD4,CXCL10,0.839
CD4,PTK2,0.859
CD4,ZAP70,0.995
CD4,SMAD4,0.406
CD4,HCRT,0.412
CD4,TEK,0.433
CD4,IFI16,0.449
CD4,NOTCH2,0.45
CD4,MAPK13,0.472
CD4,ITGB3,0.489
CD4,PDPN,0.514
CD4,MS4A1,0.565
CD4,LCN2,0.568
CD4,CDH1,0.573
CD4,MX1,0.61
CD4,CTSS,0.62
CD4,IL21,0.716
CD4,KLRK1,0.78
CD4,ITGAL,0.859
CD4,FN1,0.916
CD4,CD19,0.936
CD4,TNFAIP6,0.414
CD4,TREM2,0.414
CD4,NGF,0.418
CD4,GCG,0.431
CD4,CDC42,0.463
CD4,CCNT1,0.501
CD4,F11R,0.514
CD4,TGFB3,0.514
CD4,CCL7,0.562
CD4,NFATC1,0.583
CD4,CASP8,0.586
CD4,PPBP,0.643
CD4,CD58,0.648
CD4,CLEC4C,0.666
CD4,SDCBP,0.682
CD4,LILRB2,0.72
CD4,ARG1,0.761
CD4,CCL4,0.939
CD4,CD86,0.958
CD4,CD2,0.996
CD4,CD8A,0.999
CD4,S100A12,0.403
CD4,RIPK1,0.425
CD4,MALT1,0.431
CD4,FLT1,0.436
