,Degree,Betweenness,Closeness,Eigenvector
CFTR,0.04565217391304348,0.0003212402770882096,0.669107167609072,0.01680104560450161
ITPR1,0.03804347826086957,0.00037118471759226435,0.7083403891541611,0.01661906629621257
IFNG,0.16630434782608697,0.0009606177743102344,0.8128509892468125,0.08264357704447345
IL13,0.08260869565217391,0.00030902506875980177,0.7092222537507213,0.045249785782764396
BRCA1,0.11304347826086956,0.00032468811814864734,0.7980095466361793,0.06097598651051206
EGFR,0.24021739130434783,0.00208776627183961,0.9438246572822035,0.11641341581705797
NR1H4,0.034782608695652174,0.00014924226304466044,0.6236239629426039,0.016286776189286502
SRC,0.2016304347826087,0.0017465777714731545,0.9052544759526334,0.10438688630870804
MUC2,0.015217391304347827,9.043194552805165e-05,0.5787781241301014,0.008924170968113272
KRAS,0.15869565217391304,0.0010146996240868145,0.8298273704266279,0.08033339774239118
AQP3,0.006521739130434783,3.841880038773436e-06,0.4711265077623584,0.002561421069011551
IGF2R,0.035326086956521736,0.0002563716102796889,0.6218661117968044,0.013949372401509674
VIM,0.06793478260869565,0.00021440645908693288,0.7085903527228955,0.034102011845359236
EIF4G1,0.034782608695652174,7.683760077546873e-05,0.6270727251013108,0.012762199491535564
RUNX2,0.08858695652173913,0.0002118944606000426,0.7642004196531178,0.05050475213362756
IL7R,0.05543478260869565,9.959335177435753e-05,0.6802216138807038,0.02982817249303535
TP53,0.29184782608695653,0.0032163924155377455,1.0,0.13842431202258337
TF,0.01141304347826087,1.4185403220086534e-05,0.5442602282631945,0.003244722183995051
ATP7B,0.004891304347826087,4.728467740028844e-06,0.4582857228429218,0.0008881090133802932
NTRK1,0.06576086956521739,0.0003020801317666344,0.7317429699380824,0.03916181339839994
ITGB2,0.06141304347826087,0.00012589545357826796,0.7044759263272015,0.032079119321758824
GAPDH,0.3005434782608696,0.00879746199494054,0.9055594372697638,0.11765484352161294
RACK1,0.07173913043478261,0.0002606567841690901,0.7362263143080241,0.03159474346254758
TLR4,0.16630434782608697,0.0010209549928678948,0.8327041832344313,0.08327436693409895
IL10,0.15380434782608696,0.0011784228195853136,0.7985120068918186,0.07647071334115649
UBB,0.10054347826086957,0.0002961202922193064,0.7458238381160925,0.04356606506508924
IL6,0.24130434782608695,0.00292130647563657,0.8947254665628201,0.11080565524815536
TNF,0.2548913043478261,0.003139505559889986,0.9121604884872287,0.11500690119716943
ARRB1,0.058695652173913045,0.00021012128519753173,0.7407847867188065,0.028394449749633083
PKD2,0.010326086956521738,2.8961864907676674e-05,0.521855370401206,0.002332524328859604
HSPA1B,0.07065217391304347,0.00023849209163770486,0.7521832951090001,0.03663477211507863
PARK7,0.052173913043478265,0.00017534734535940298,0.6968638295147662,0.02162799833286996
UBC,0.1108695652173913,0.0001777608341017094,0.8004420647536099,0.05289922382444144
IL1B,0.21956521739130436,0.001923599782490484,0.8720432839902628,0.10187176582391885
CASR,0.019021739130434784,0.0001056517010662695,0.5596072571065241,0.007136186707413717
ACE2,0.05271739130434783,0.00020421070052249575,0.6681348252449708,0.026575177785577192
KCNH2,0.01358695652173913,2.8370806440173064e-05,0.613336657073601,0.005182116215239632
FLNC,0.021195652173913043,1.9504929427618982e-05,0.6178746863088723,0.00822106221386215
SNCA,0.075,0.00026878383809726463,0.7383340112213096,0.03339667992297737
AQP5,0.005978260869565218,2.9552923375180275e-06,0.5312140013267433,0.002892573240213336
LDLR,0.014673913043478261,1.2412227817575716e-05,0.5736613100094604,0.0048098983826825184
ELANE,0.035326086956521736,2.9257394141428477e-05,0.6172649659854916,0.017556569347759315
CXCL8,0.1423913043478261,0.000988693051516656,0.797006374367577,0.07336682961151297
HTT,0.07228260869565217,0.00025622384566281297,0.7643180833107815,0.033051720678199684
CHEK2,0.05326086956521739,0.0001586991985247181,0.6859142073320416,0.027992533910538183
HSF1,0.025,2.4528926401399633e-05,0.6647424421302528,0.014204710197618325
HSPA5,0.10489130434782609,0.0004614688985034401,0.7703565695165131,0.05030199439625116
GFAP,0.07282608695652174,0.0005013160901876414,0.6972242809134827,0.035065125098483994
ABCB1,0.042391304347826085,0.0001793862448873443,0.6291991285176481,0.024277593067078985
CTNNB1,0.23695652173913043,0.0027799449921586247,0.9173137341203702,0.1129770244711137
CAPN1,0.020652173913043477,1.9504929427618982e-05,0.6583782477759664,0.0100989402253203
LAMP2,0.03804347826086957,9.368276709932147e-05,0.6439051633078559,0.015672139919015404
TFRC,0.07717391304347826,0.0003998510532661892,0.7028097809579247,0.03172491332785279
SERPINA1,0.03967391304347826,0.00010210535026124787,0.6272196139552934,0.016607748255965935
MUC5AC,0.020652173913043477,1.09345816488167e-05,0.5865526946078993,0.01242213306576184
SGK1,0.029347826086956522,3.915762347211387e-05,0.645838863866493,0.016883382930722276
BAG1,0.01576086956521739,5.3195262075324495e-06,0.6677044639509284,0.009912982483746726
NEDD4,0.04021739130434783,0.00012500886587701258,0.7076229844003206,0.020826785179794555
EMD,0.011956521739130435,8.865877012554083e-06,0.6123920503859094,0.004608679614004627
SQSTM1,0.11195652173913044,0.00041492304418753106,0.786805046269781,0.054385500987688414
PRKN,0.07010869565217391,0.0002559283164290612,0.7323886857992677,0.03148357180934815
