,Degree,Betweenness,Closeness,Eigenvector
CD4,0.09759846301633045,0.01793221451121493,0.8329260079232512,0.10103448865885623
CALM3,0.08972142170989433,0.033816243471917334,0.8408736244145604,0.06876761219368355
MET,0.04341978866474544,0.0050378745087094005,0.8180297627975631,0.06782352796278648
PRL,0.011527377521613832,0.00028091152818972477,0.7346536728261596,0.02100643607380747
F9,0.01037463976945245,0.000726460322769524,0.6410676337596416,0.006632792021619173
LYZ,0.014601344860710855,0.001430215876208429,0.6437414278376643,0.010597915591794141
TTR,0.029394812680115272,0.00559635645675646,0.7339172307187023,0.022375375747888757
TLR10,0.0007684918347742555,1.956671178085873e-06,0.5121216850276047,0.0011078470714027345
TNFAIP3,0.00845341018251681,0.0002165075117714077,0.7300604613926136,0.01519548947282289
CEACAM1,0.004418828049951969,0.0004549814263911376,0.6264863157811078,0.005448402037108859
NECTIN2,0.003073967339097022,0.00040685839090745995,0.5614716818080298,0.002926400569600942
CD59,0.007684918347742555,0.0006672802492134553,0.6185149066598058,0.00855034833384688
MIF,0.01729106628242075,0.0015244560515655454,0.7209807271458796,0.023133351401136985
F2,0.03765609990393852,0.006852539353087587,0.7180379392979261,0.02473630301953017
H3C12,0.09855907780979827,0.015329097324824393,0.8660689616583263,0.08892361307046051
HSP90AA1,0.14140249759846302,0.045593145793169254,0.9386599206903589,0.13390764348809137
FLNA,0.019020172910662825,0.0027653178433890233,0.7606864874896141,0.024028583642971134
PPARG,0.09241114313160423,0.022788377028631148,0.8520472763791203,0.09364728582530114
SNCA,0.029010566762728146,0.0013621077212705906,0.8211452991188263,0.0384539284476157
MAPK1,0.0670509125840538,0.007132146433825255,0.8660661926255007,0.09013655325375443
NCR3,0.001536983669548511,1.476732964593112e-07,0.5952578019611114,0.0023298241844650295
EGFR,0.16388088376561,0.037455147312727484,0.9528750643328083,0.16149661976083
WT1,0.013064361191162345,0.0009649157782271971,0.7544366915085708,0.022390576097528255
PTPRN,0.0011527377521613833,5.7038810757408936e-06,0.6629531058882421,0.0024678092976415356
MYC,0.05437079731027858,0.006742110492606122,0.8787353727855454,0.07498530282799486
MAPK14,0.06032660902977906,0.008275593074417746,0.8392144023628465,0.07708257371688566
MPO,0.028434197886647455,0.0028115518912888264,0.7531231688286238,0.03823906979296266
TP53,0.23246878001921228,0.0745359981964168,1.0,0.19063063758501958
TNFSF13B,0.008261287223823247,0.0002881290605541736,0.6205516554972939,0.008286320697444241
CASP1,0.03266090297790586,0.0031799783067927505,0.7718854353827025,0.04425983867987624
LGALS9,0.007300672430355428,5.879243115286328e-05,0.6585264606671938,0.009332976710379012
TLR8,0.014985590778097982,0.00035018876339119924,0.6703647524591437,0.016664886110136466
CASP3,0.08395773294908741,0.01277044210677616,0.8759292114869817,0.10765665025232994
DPP4,0.02862632084534102,0.0026313166329602357,0.7431001950653583,0.03162157358949684
CXCL12,0.031508165225744476,0.0011359460677431551,0.7690063578583307,0.05035864008153304
HLA-A,0.0366954851104707,0.005418256308172509,0.7521029955919448,0.02980674801561155
HLA-B,0.02324687800192123,0.002698144952662093,0.7089360205426783,0.017160649949664337
SKP1,0.02574447646493756,0.002750685880931514,0.8006067535035316,0.03416869407509977
CD40LG,0.009606147934678195,0.00030799111892795106,0.7122468318362104,0.014682847234126224
HLA-DRA,0.007492795389048991,0.0007303736651256959,0.6953786627487429,0.00793840284851493
CD5,0.006147934678194044,0.00013369971078184891,0.6900555708546494,0.01049026411516307
CD74,0.01940441882804995,0.0017230458700332244,0.7426580172684113,0.021124702189804053
CST3,0.012103746397694525,0.0004588578504231948,0.7010821136784597,0.015472344185110579
C1QB,0.004995196926032661,5.831249293937052e-05,0.6228951690346504,0.005617926396735047
MAPK8,0.033237271853986554,0.002753540897996393,0.8360180090343864,0.05760151882245635
AGER,0.013448607108549471,0.001605430242457402,0.7324783888963955,0.023541148844685795
PARP1,0.07223823246878001,0.010828907441577367,0.8390849192607996,0.08055660766304663
TGFBR1,0.02228626320845341,0.0024058256623208873,0.7542663725509792,0.03388638569365399
GSK3B,0.0851104707012488,0.019054771533412437,0.8686570490760385,0.0962499952386423
BECN1,0.024399615754082612,0.0018646399491216267,0.7971289435654217,0.03991270729556715
MMP12,0.01536983669548511,0.000931750817064043,0.6620132102296125,0.017169355778614448
SATB1,0.0026897214217098944,6.785587972305351e-05,0.6252540454023564,0.004142438646418208
PIK3CG,0.0276657060518732,0.002957816138377755,0.7627229505158765,0.04273445310320111
RIPK3,0.0038424591738712775,7.67901141588418e-06,0.7043430720382678,0.006984365247393164
PF4,0.00941402497598463,0.00016496953130710798,0.6817461514054597,0.013544855474724716
FOLH1,0.009221902017291067,0.000657016955109533,0.7002236334166076,0.010614810842743393
ADRB2,0.020365033621517772,0.0026156817226976074,0.7372514792596992,0.02374864859250321
REN,0.024591738712776177,0.0022126259191739745,0.7078549968349258,0.03007219398107796
APP,0.08837656099903939,0.022333647877454794,0.8619095676009999,0.07835552897166548
NR4A1,0.006340057636887608,0.00017000888254878208,0.7390217912926376,0.013595163917999736
H3C13,0.043227665706051875,0.0032253693862919304,0.8338496368223506,0.05835589267928291
BRAF,0.051296829971181554,0.00615239564235792,0.8173624982661039,0.07015726805248797
CYCS,0.03554274735830932,0.004470267581551963,0.8203572077224194,0.05263423699956261
ESR1,0.10816522574447647,0.023990308447675537,0.906135047231784,0.11972624837144548
TYK2,0.018059558117195004,0.0009430416711891615,0.7230333341035357,0.03099044814703991
CGAS,0.009798270893371758,0.0007735127268538721,0.6910486964139263,0.01378811627347039
NR3C1,0.03342939481268011,0.0055678124391616785,0.8154525082290011,0.04851430088211513
KRAS,0.09125840537944284,0.014149403043005169,0.8752391220997142,0.11039741356347439
ACE,0.028434197886647455,0.002881376748298004,0.7318031317607818,0.03603129468747093
HPRT1,0.017098943323727186,0.002454699370394901,0.7015943739573413,0.019561922834131603
AXL,0.009221902017291067,0.0001348441788294086,0.7158944553926977,0.019988371753328023
LGALS3,0.03381364073006724,0.0038894869657395493,0.7658040733801614,0.04589144824881658
BTK,0.040730067243035545,0.00634276498065603,0.7616907293140753,0.04302518728941012
CCL11,0.004995196926032661,0.000405123229674063,0.67275774273249,0.008915029812840744
PRKCQ,0.004034582132564841,1.0115620807462819e-05,0.6930657480044933,0.008208112436272485
B2M,0.05898174831892411,0.011796315206682315,0.7872983127774789,0.05624985182345543
CSF1R,0.027473583093179633,0.0019242076650809019,0.7452557327450715,0.04234507631849512
PTPN11,0.04457252641690682,0.004572020635866448,0.8050379020361415,0.06969413521636168
BST2,0.005571565802113353,0.0002723649361571421,0.6267057510121926,0.004481158365616966
TNFRSF1A,0.017098943323727186,0.0005536087292639003,0.7804331434514943,0.034839291260986366
RORC,0.013640730067243036,0.0005183086583561056,0.673266057463012,0.013777287334476637
CCL2,0.03227665706051873,0.0034243283880007564,0.7701369948507419,0.04755319523658206
IL18,0.024015369836695485,0.002047016470248876,0.722757246373298,0.034586205698769995
CXCL8,0.045341018251681076,0.003873858208530937,0.8065700245022923,0.06592226795282784
CCL3,0.019596541786743516,0.0006337768700792488,0.7159269898594689,0.02707472780209884
SELL,0.0069164265129683,0.00014728565405610548,0.6995073759966698,0.010990510613912659
GZMB,0.007877041306436119,3.54600503122921e-05,0.7048511355540336,0.015529331269670545
ITGAM,0.03227665706051873,0.001761576294301066,0.7418469801410295,0.03977118315622897
CUL1,0.003650336215177714,2.0378914911384948e-05,0.73153450824075,0.008119680836448727
ICAM1,0.03688760806916427,0.0027295070689976413,0.7898521169921602,0.05699353239610851
IL4,0.042843419788664745,0.003605043584542839,0.7855001816023548,0.06145993217144668
IL17A,0.01940441882804995,0.0012021344698270233,0.7292531426668598,0.03240444941402988
RPS6KB1,0.017098943323727186,0.0013324500008983458,0.7804278108811011,0.03480439989844968
TSG101,0.012487992315081652,0.001135663027258275,0.7687147549834589,0.018673063891650146
XIAP,0.038232468780019215,0.0032277321590352803,0.8008331317344078,0.05400299066089172
FGF9,0.011527377521613832,0.00043524858215176246,0.7450849389721774,0.02648032811778219
FGF4,0.0067243035542747355,5.1648735436644124e-05,0.7325754035827333,0.01618347187278987
IRAK4,0.01095100864553314,0.0003562064502219159,0.706143612669788,0.01400389450693768
MMP1,0.01882804995196926,0.001296682297885097,0.7084679857965437,0.030526014951846467
CASP9,0.02190201729106628,0.0005782886289346625,0.7954753856610914,0.04579413622220704
ANXA1,0.007877041306436119,0.00026214471343135394,0.7371758171061676,0.015050605239026755
ADAM17,0.01440922190201729,0.001203932392211415,0.7116037353824225,0.022705230989231533
LMNA,0.015754082612872238,0.0023492975550470675,0.7290051849857221,0.02555383963944878
SIRPG,0.0013448607108549472,0.0,0.6092680943931991,0.0021494061175249264
PIK3CD,0.014793467819404419,0.00019339664087552548,0.7624920733925151,0.03252152415084224
MCL1,0.03919308357348703,0.002983135955666506,0.7927384667244839,0.0591139716420662
